,value,timestamp_sensor
0,11.45,2020-05-21 13:48:31
1,11.49,2020-05-21 14:08:31
2,11.51,2020-05-21 14:28:31
3,11.58,2020-05-21 14:48:31
4,11.48,2020-05-21 15:08:31
5,11.39,2020-05-21 15:28:32
6,11.12,2020-05-21 15:48:32
7,10.14,2020-05-21 16:08:32
8,10.1,2020-05-21 16:28:32
9,9.95,2020-05-21 16:48:32
10,9.97,2020-05-21 17:08:33
11,9.94,2020-05-21 17:28:33
12,9.87,2020-05-21 17:48:33
13,9.87,2020-05-21 18:08:33
14,9.85,2020-05-21 18:28:34
15,9.95,2020-05-21 18:48:34
16,9.91,2020-05-21 19:08:34
17,10.0,2020-05-21 19:28:34
18,10.5,2020-05-21 19:48:35
19,10.34,2020-05-21 20:08:35
20,10.39,2020-05-21 20:28:35
21,10.5,2020-05-21 20:48:35
22,10.52,2020-05-21 21:08:35
23,10.49,2020-05-21 21:28:36
24,10.5,2020-05-21 21:48:36
25,10.46,2020-05-21 22:08:36
26,10.49,2020-05-21 22:28:36
27,10.5,2020-05-21 22:48:37
28,10.53,2020-05-21 23:08:37
29,10.5,2020-05-21 23:28:37
30,10.45,2020-05-21 23:48:37
31,10.44,2020-05-22 00:08:38
32,10.45,2020-05-22 00:28:38
33,10.47,2020-05-22 00:48:38
34,10.5,2020-05-22 01:08:38
35,10.52,2020-05-22 01:28:38
36,10.56,2020-05-22 01:48:39
37,10.54,2020-05-22 02:08:39
38,10.56,2020-05-22 02:28:39
39,10.54,2020-05-22 02:48:40
40,10.58,2020-05-22 03:08:40
41,10.59,2020-05-22 03:28:40
42,10.59,2020-05-22 03:48:40
43,10.58,2020-05-22 04:08:41
44,10.6,2020-05-22 04:28:41
45,10.59,2020-05-22 04:48:41
46,10.59,2020-05-22 05:08:41
47,10.58,2020-05-22 05:28:41
48,10.58,2020-05-22 05:48:42
49,10.59,2020-05-22 06:08:42
50,10.62,2020-05-22 06:28:42
51,10.56,2020-05-22 06:48:42
52,10.54,2020-05-22 07:08:42
53,10.54,2020-05-22 07:28:43
54,10.58,2020-05-22 07:48:43
55,10.61,2020-05-22 08:08:43
56,10.59,2020-05-22 08:28:43
57,10.59,2020-05-22 08:48:43
58,10.6,2020-05-22 09:08:44
59,10.62,2020-05-22 09:28:44
60,10.72,2020-05-22 09:48:44
61,10.71,2020-05-22 10:08:44
62,10.72,2020-05-22 10:28:45
63,10.72,2020-05-22 10:48:45
64,10.72,2020-05-22 11:08:45
65,10.7,2020-05-22 11:28:45
66,10.7,2020-05-22 11:48:46
67,10.69,2020-05-22 12:08:46
68,10.69,2020-05-22 12:28:46
69,10.65,2020-05-22 12:48:47
70,10.69,2020-05-22 13:08:47
71,11.27,2020-05-22 13:28:47
72,11.53,2020-05-22 13:48:47
73,11.58,2020-05-22 14:08:48
74,11.69,2020-05-22 14:28:48
75,11.75,2020-05-22 14:48:48
76,11.69,2020-05-22 15:08:48
77,11.72,2020-05-22 15:28:48
78,11.92,2020-05-22 15:48:49
79,11.94,2020-05-22 16:08:49
80,12.05,2020-05-22 16:28:49
81,12.06,2020-05-22 16:48:49
82,12.15,2020-05-22 17:08:50
83,12.09,2020-05-22 17:28:50
84,12.11,2020-05-22 17:48:50
85,12.04,2020-05-22 18:08:50
86,12.1,2020-05-22 18:28:50
87,11.86,2020-05-22 18:48:51
88,12.03,2020-05-22 19:08:51
89,11.88,2020-05-22 19:28:51
90,11.82,2020-05-22 19:48:51
91,11.81,2020-05-22 20:08:52
92,11.8,2020-05-22 20:28:52
93,11.31,2020-05-22 20:48:52
94,11.2,2020-05-22 21:08:52
95,11.02,2020-05-22 21:28:53
96,10.83,2020-05-22 21:48:53
97,11.08,2020-05-22 22:08:53
98,10.74,2020-05-22 22:28:53
99,10.75,2020-05-22 22:48:53
100,10.78,2020-05-22 23:08:54
101,10.84,2020-05-22 23:28:54
102,10.94,2020-05-22 23:48:54
103,10.75,2020-05-23 00:08:54
104,10.69,2020-05-23 00:28:55
105,10.59,2020-05-23 00:48:55
106,10.57,2020-05-23 01:08:55
107,10.44,2020-05-23 01:28:55
108,10.26,2020-05-23 01:48:56
109,10.44,2020-05-23 02:08:56
110,10.44,2020-05-23 02:28:56
111,10.19,2020-05-23 02:48:57
112,10.11,2020-05-23 03:08:57
113,10.03,2020-05-23 03:28:57
114,9.94,2020-05-23 03:48:57
115,9.91,2020-05-23 04:08:57
116,9.88,2020-05-23 04:28:58
117,9.86,2020-05-23 04:48:58
118,9.84,2020-05-23 05:08:58
119,9.73,2020-05-23 05:28:58
120,9.71,2020-05-23 05:48:58
121,9.59,2020-05-23 06:08:59
122,9.45,2020-05-23 06:28:59
123,9.56,2020-05-23 06:48:59
124,9.58,2020-05-23 07:08:59
125,9.58,2020-05-23 07:28:59
126,9.57,2020-05-23 07:49:00
127,9.62,2020-05-23 08:09:00
128,9.59,2020-05-23 08:29:00
129,9.54,2020-05-23 08:49:01
130,9.49,2020-05-23 09:09:01
131,9.5,2020-05-23 09:29:01
132,9.4,2020-05-23 09:49:01
133,9.47,2020-05-23 10:09:01
134,9.65,2020-05-23 10:29:02
135,9.6,2020-05-23 10:49:02
136,9.44,2020-05-23 11:09:02
137,9.31,2020-05-23 11:29:02
138,9.24,2020-05-23 11:49:03
139,9.33,2020-05-23 12:09:03
140,9.56,2020-05-23 12:29:03
141,9.59,2020-05-23 12:49:03
142,9.56,2020-05-23 13:09:03
143,9.44,2020-05-23 13:29:04
144,9.35,2020-05-23 13:49:04
145,9.39,2020-05-23 14:09:04
146,9.2,2020-05-23 14:29:04
147,9.43,2020-05-23 14:49:05
148,9.43,2020-05-23 15:09:05
149,9.38,2020-05-23 15:29:05
150,9.29,2020-05-23 15:49:05
151,9.23,2020-05-23 16:09:06
152,9.18,2020-05-23 16:29:06
153,9.18,2020-05-23 16:49:06
154,9.14,2020-05-23 17:09:06
155,9.12,2020-05-23 17:29:06
156,9.1,2020-05-23 17:49:07
157,9.07,2020-05-23 18:09:07
158,9.08,2020-05-23 18:29:07
159,9.07,2020-05-23 18:49:07
160,9.06,2020-05-23 19:09:08
161,9.05,2020-05-23 19:29:08
162,9.05,2020-05-23 19:49:08
163,9.05,2020-05-23 20:09:08
164,9.04,2020-05-23 20:29:08
165,9.05,2020-05-23 20:49:09
166,8.99,2020-05-23 21:09:09
167,9.05,2020-05-23 21:29:09
168,9.05,2020-05-23 21:49:09
169,9.05,2020-05-23 22:09:10
170,9.04,2020-05-23 22:29:10
171,9.03,2020-05-23 22:49:10
172,9.06,2020-05-23 23:09:10
173,9.06,2020-05-23 23:29:11
174,9.06,2020-05-23 23:49:11
175,8.97,2020-05-24 00:09:11
176,9.06,2020-05-24 00:29:11
177,9.07,2020-05-24 00:49:12
178,9.08,2020-05-24 01:09:12
179,9.07,2020-05-24 01:29:12
180,9.07,2020-05-24 01:49:12
181,9.07,2020-05-24 02:09:12
182,9.06,2020-05-24 02:29:13
183,9.06,2020-05-24 02:49:13
184,9.06,2020-05-24 03:09:13
185,9.05,2020-05-24 03:29:13
186,9.06,2020-05-24 03:49:13
187,9.06,2020-05-24 04:09:14
188,9.05,2020-05-24 04:29:14
189,9.06,2020-05-24 04:49:14
190,9.05,2020-05-24 05:09:14
191,9.05,2020-05-24 05:29:14
192,9.06,2020-05-24 05:49:15
193,9.06,2020-05-24 06:09:15
194,9.06,2020-05-24 06:29:15
195,9.06,2020-05-24 06:49:16
196,9.06,2020-05-24 07:09:16
197,9.06,2020-05-24 07:29:16
198,9.06,2020-05-24 07:49:16
199,9.05,2020-05-24 08:09:16
200,9.04,2020-05-24 08:29:17
201,9.04,2020-05-24 08:49:17
202,9.04,2020-05-24 09:09:17
203,9.03,2020-05-24 09:29:17
204,9.03,2020-05-24 09:49:18
205,9.03,2020-05-24 10:09:18
206,9.02,2020-05-24 10:29:18
207,9.01,2020-05-24 10:49:18
208,9.05,2020-05-24 11:09:18
209,9.05,2020-05-24 11:29:19
210,9.08,2020-05-24 11:49:19
211,9.05,2020-05-24 12:09:19
212,9.08,2020-05-24 12:29:19
213,9.07,2020-05-24 12:49:20
214,9.12,2020-05-24 13:09:20
215,9.08,2020-05-24 13:29:20
216,9.18,2020-05-24 13:49:20
217,9.08,2020-05-24 14:09:20
218,9.34,2020-05-24 14:29:21
219,9.2,2020-05-24 14:49:21
220,9.26,2020-05-24 15:09:21
221,9.4,2020-05-24 15:29:21
222,9.36,2020-05-24 15:49:22
223,9.3,2020-05-24 16:09:22
224,9.23,2020-05-24 16:29:22
225,9.14,2020-05-24 16:49:22
226,9.15,2020-05-24 17:09:23
227,9.17,2020-05-24 17:29:23
228,9.18,2020-05-24 17:49:23
229,9.36,2020-05-24 18:09:23
230,9.3,2020-05-24 18:29:24
231,9.3,2020-05-24 18:49:24
232,9.21,2020-05-24 19:09:24
233,9.2,2020-05-24 19:29:24
234,9.18,2020-05-24 19:49:24
235,9.31,2020-05-24 20:09:25
236,9.27,2020-05-24 20:29:25
237,9.08,2020-05-24 20:49:25
238,9.06,2020-05-24 21:09:25
239,9.05,2020-05-24 21:29:26
240,9.11,2020-05-24 21:49:26
241,9.12,2020-05-24 22:09:26
242,9.06,2020-05-24 22:29:26
243,9.04,2020-05-24 22:49:26
244,9.03,2020-05-24 23:09:27
245,8.88,2020-05-24 23:29:27
246,8.87,2020-05-24 23:49:27
247,8.81,2020-05-25 00:09:27
248,8.92,2020-05-25 00:29:27
249,9.05,2020-05-25 00:49:28
250,9.1,2020-05-25 01:09:28
251,9.1,2020-05-25 01:29:28
252,9.16,2020-05-25 01:49:28
253,9.22,2020-05-25 02:09:29
254,9.34,2020-05-25 02:29:29
255,9.34,2020-05-25 02:49:29
256,9.22,2020-05-25 03:09:29
257,9.31,2020-05-25 03:29:30
258,9.19,2020-05-25 03:49:30
259,9.11,2020-05-25 04:09:30
260,9.09,2020-05-25 04:29:30
261,9.1,2020-05-25 04:49:30
262,9.15,2020-05-25 05:09:31
263,9.23,2020-05-25 05:29:31
264,9.08,2020-05-25 05:49:31
265,9.07,2020-05-25 06:09:32
266,9.09,2020-05-25 06:29:32
267,9.13,2020-05-25 06:49:32
268,9.14,2020-05-25 07:09:32
269,9.07,2020-05-25 07:29:33
270,9.06,2020-05-25 07:49:33
271,9.08,2020-05-25 08:09:33
272,9.08,2020-05-25 08:29:33
273,9.46,2020-05-25 08:49:33
274,9.72,2020-05-25 09:09:34
275,9.87,2020-05-25 09:29:34
276,9.87,2020-05-25 09:49:34
277,10.0,2020-05-25 10:09:34
278,10.07,2020-05-25 10:29:34
279,9.97,2020-05-25 10:49:35
280,10.03,2020-05-25 11:09:35
281,10.03,2020-05-25 11:29:35
282,10.01,2020-05-25 11:49:35
283,9.97,2020-05-25 12:09:36
284,9.97,2020-05-25 12:29:36
285,10.0,2020-05-25 12:49:36
286,10.02,2020-05-25 13:09:37
287,9.57,2020-05-25 13:29:37
288,9.06,2020-05-25 13:49:37
289,9.05,2020-05-25 14:09:37
290,9.03,2020-05-25 14:29:37
291,8.9,2020-05-25 14:49:38
292,8.79,2020-05-25 15:09:38
293,8.68,2020-05-25 15:29:38
294,8.68,2020-05-25 15:49:39
295,8.66,2020-05-25 16:09:39
296,8.67,2020-05-25 16:29:39
297,8.67,2020-05-25 16:49:39
298,8.64,2020-05-25 17:09:40
299,8.65,2020-05-25 17:29:40
300,8.65,2020-05-25 17:49:40
301,8.62,2020-05-25 18:09:40
302,8.62,2020-05-25 18:29:41
303,9.07,2020-05-25 18:49:41
304,9.26,2020-05-25 19:09:41
305,9.49,2020-05-25 19:29:41
306,9.58,2020-05-25 19:49:41
307,9.69,2020-05-25 20:09:41
308,9.84,2020-05-25 20:29:42
309,9.83,2020-05-25 20:49:42
310,9.46,2020-05-25 21:09:42
311,9.1,2020-05-25 21:29:42
312,9.17,2020-05-25 21:49:43
313,9.31,2020-05-25 22:09:43
314,9.06,2020-05-25 22:29:43
315,9.59,2020-05-25 22:49:43
316,9.78,2020-05-25 23:09:43
317,9.24,2020-05-25 23:29:44
318,9.34,2020-05-25 23:49:44
319,9.27,2020-05-26 00:09:44
320,9.44,2020-05-26 00:29:44
321,9.57,2020-05-26 00:49:45
322,9.62,2020-05-26 01:09:45
323,9.57,2020-05-26 01:29:45
324,9.62,2020-05-26 01:49:45
325,9.5,2020-05-26 02:09:45
326,9.3,2020-05-26 02:29:46
327,9.38,2020-05-26 02:49:46
328,9.49,2020-05-26 03:09:46
329,9.51,2020-05-26 03:29:46
330,9.52,2020-05-26 03:49:47
331,9.52,2020-05-26 04:09:47
332,9.52,2020-05-26 04:29:47
333,9.81,2020-05-26 04:49:47
334,9.84,2020-05-26 05:09:47
335,9.88,2020-05-26 05:29:48
336,9.85,2020-05-26 05:49:48
337,9.78,2020-05-26 06:09:48
