,value,timestamp_sensor
0,151.99,2020-05-21 13:48:31
1,151.63,2020-05-21 14:08:31
2,151.76,2020-05-21 14:28:31
3,151.93,2020-05-21 14:48:31
4,152.19,2020-05-21 15:08:31
5,152.15,2020-05-21 15:28:32
6,153.12,2020-05-21 15:48:32
7,155.3,2020-05-21 16:08:32
8,155.3,2020-05-21 16:28:32
9,155.45,2020-05-21 16:48:32
10,155.55,2020-05-21 17:08:33
11,155.46,2020-05-21 17:28:33
12,155.51,2020-05-21 17:48:33
13,155.75,2020-05-21 18:08:33
14,155.7,2020-05-21 18:28:34
15,155.29,2020-05-21 18:48:34
16,155.44,2020-05-21 19:08:34
17,155.45,2020-05-21 19:28:34
18,153.92,2020-05-21 19:48:35
19,153.79,2020-05-21 20:08:35
20,153.47,2020-05-21 20:28:35
21,153.34,2020-05-21 20:48:35
22,153.51,2020-05-21 21:08:35
23,153.51,2020-05-21 21:28:36
24,153.71,2020-05-21 21:48:36
25,153.59,2020-05-21 22:08:36
26,153.51,2020-05-21 22:28:36
27,153.0,2020-05-21 22:48:37
28,153.16,2020-05-21 23:08:37
29,153.28,2020-05-21 23:28:37
30,153.5,2020-05-21 23:48:37
31,153.35,2020-05-22 00:08:38
32,153.07,2020-05-22 00:28:38
33,152.19,2020-05-22 00:48:38
34,152.58,2020-05-22 01:08:38
35,152.61,2020-05-22 01:28:38
36,153.1,2020-05-22 01:48:39
37,152.8,2020-05-22 02:08:39
38,152.72,2020-05-22 02:28:39
39,152.71,2020-05-22 02:48:40
40,152.57,2020-05-22 03:08:40
41,152.07,2020-05-22 03:28:40
42,151.94,2020-05-22 03:48:40
43,151.81,2020-05-22 04:08:41
44,151.84,2020-05-22 04:28:41
45,152.01,2020-05-22 04:48:41
46,151.62,2020-05-22 05:08:41
47,151.96,2020-05-22 05:28:41
48,151.83,2020-05-22 05:48:42
49,151.45,2020-05-22 06:08:42
50,151.59,2020-05-22 06:28:42
51,152.48,2020-05-22 06:48:42
52,152.54,2020-05-22 07:08:42
53,152.62,2020-05-22 07:28:43
54,152.54,2020-05-22 07:48:43
55,152.24,2020-05-22 08:08:43
56,152.39,2020-05-22 08:28:43
57,152.61,2020-05-22 08:48:43
58,152.61,2020-05-22 09:08:44
59,152.52,2020-05-22 09:28:44
60,152.85,2020-05-22 09:48:44
61,152.75,2020-05-22 10:08:44
62,152.87,2020-05-22 10:28:45
63,152.93,2020-05-22 10:48:45
64,152.7,2020-05-22 11:08:45
65,152.43,2020-05-22 11:28:45
66,152.68,2020-05-22 11:48:46
67,152.87,2020-05-22 12:08:46
68,152.79,2020-05-22 12:28:46
69,152.77,2020-05-22 12:48:47
70,152.7,2020-05-22 13:08:47
71,153.39,2020-05-22 13:28:47
72,153.18,2020-05-22 13:48:47
73,152.55,2020-05-22 14:08:48
74,153.08,2020-05-22 14:28:48
75,153.12,2020-05-22 14:48:48
76,153.14,2020-05-22 15:08:48
77,152.53,2020-05-22 15:28:48
78,152.8,2020-05-22 15:48:49
79,153.14,2020-05-22 16:08:49
80,153.07,2020-05-22 16:28:49
81,152.71,2020-05-22 16:48:49
82,152.55,2020-05-22 17:08:50
83,152.44,2020-05-22 17:28:50
84,152.9,2020-05-22 17:48:50
85,152.84,2020-05-22 18:08:50
86,152.68,2020-05-22 18:28:51
87,152.85,2020-05-22 18:48:51
88,152.52,2020-05-22 19:08:51
89,152.94,2020-05-22 19:28:51
90,153.03,2020-05-22 19:48:51
91,153.01,2020-05-22 20:08:52
92,152.95,2020-05-22 20:28:52
93,153.09,2020-05-22 20:48:52
94,153.83,2020-05-22 21:08:52
95,153.53,2020-05-22 21:28:53
96,153.66,2020-05-22 21:48:53
97,153.45,2020-05-22 22:08:53
98,153.99,2020-05-22 22:28:53
99,154.13,2020-05-22 22:48:54
100,154.34,2020-05-22 23:08:54
101,154.14,2020-05-22 23:28:54
102,153.92,2020-05-22 23:48:54
103,154.35,2020-05-23 00:08:54
104,154.08,2020-05-23 00:28:55
